MIL,104.3,102.9
GSW,97.6,108.8
MIN,112.8,102.3
MIA,108.6,106.6
ATL,107.6,110.3
BOS,109.4,105.8
DET,106.9,99.8
NYK,109.7,103.5
DEN,108.5,108.5
DAL,106.6,115.4
BKN,105.5,104.5
POR,101.4,109.4
ORL,106.7,100.0
TOR,105.7,116.3
CLE,106.1,110.2
SAS,98.9,105.7
CHA,108.2,100.2
UTA,113.3,106.4
CHI,104.8,107.7
CHO,108.2,100.2
HOU,99.6,104.9
WAS,102.5,105.7
LAL,115.8,108.1
PHI,106.7,93.2
PHO,105.2,107.2
MEM,100.9,108.6
LAC,104.7,112.3
SAC,108.1,108.3
OKC,102.8,100.0
PHX,105.2,107.2
BRK,105.5,104.5
IND,104.1,101.0
NOP,107.5,107.9
